Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,11951,17.0,17,,,,,,
,,,,,11983,32.0,32,,,,,,
,,,,,12000,,,0.07328324019908905,9.769777297973633,9.756685256958008,0.3966656029224396,0.6399999999999999,0.0005
,,,,,12035,52.0,52,,,,,,
,,,,,12117,82.0,82,,,,,,
,,,,,12145,28.0,28,,,,,,
,,,,,12196,51.0,51,,,,,,
,,,,,12214,18.0,18,,,,,,
,,,,,12266,52.0,52,,,,,,
,,,,,12291,25.0,25,,,,,,
,,,,,12336,45.0,45,,,,,,
,,,,,12366,30.0,30,,,,,,
,,,,,12386,20.0,20,,,,,,
,,,,,12420,34.0,34,,,,,,
,,,,,12450,30.0,30,,,,,,
,,,,,12483,33.0,33,,,,,,
148.2,20.850899,186.0,117.0,148.2,12500,,,0.300729900598526,10.533312797546387,10.455480575561523,2.326411724090576,0.625,0.0005
,,,,,12524,41.0,41,,,,,,
,,,,,12562,38.0,38,,,,,,
,,,,,12625,63.0,63,,,,,,
,,,,,12650,25.0,25,,,,,,
,,,,,12681,31.0,31,,,,,,
,,,,,12737,56.0,56,,,,,,
,,,,,12766,29.0,29,,,,,,
,,,,,12818,52.0,52,,,,,,
,,,,,12861,43.0,43,,,,,,
,,,,,12881,20.0,20,,,,,,
,,,,,12913,32.0,32,,,,,,
,,,,,12937,24.0,24,,,,,,
,,,,,12954,17.0,17,,,,,,
,,,,,12975,21.0,21,,,,,,
,,,,,13000,,,0.04705817252397537,10.99760627746582,11.020832061767578,1.080322504043579,0.61,0.0005
,,,,,13033,58.0,58,,,,,,
,,,,,13047,14.0,14,,,,,,
,,,,,13102,55.0,55,,,,,,
,,,,,13134,32.0,32,,,,,,
,,,,,13194,60.0,60,,,,,,
,,,,,13239,45.0,45,,,,,,
,,,,,13333,94.0,94,,,,,,
,,,,,13364,31.0,31,,,,,,
,,,,,13412,48.0,48,,,,,,
,,,,,13478,66.0,66,,,,,,
,,,,,13519,41.0,41,,,,,,
,,,,,13534,15.0,15,,,,,,
,,,,,13587,53.0,53,,,,,,
,,,,,13600,13.0,13,,,,,,
,,,,,13666,66.0,66,,,,,,
,,,,,13680,14.0,14,,,,,,
,,,,,13741,61.0,61,,,,,,
,,,,,13811,70.0,70,,,,,,
,,,,,13841,30.0,30,,,,,,
,,,,,13926,85.0,85,,,,,,
,,,,,13978,52.0,52,,,,,,
,,,,,14000,,,0.03235015645623207,11.539484024047852,11.556634902954102,0.8420372605323792,0.58,0.0005
,,,,,14014,36.0,36,,,,,,
,,,,,14138,124.0,124,,,,,,
,,,,,14158,20.0,20,,,,,,
,,,,,14209,51.0,51,,,,,,
,,,,,14237,28.0,28,,,,,,
,,,,,14268,31.0,31,,,,,,
,,,,,14286,18.0,18,,,,,,
,,,,,14297,11.0,11,,,,,,
,,,,,14334,37.0,37,,,,,,
,,,,,14399,65.0,65,,,,,,
,,,,,14416,17.0,17,,,,,,
,,,,,14450,34.0,34,,,,,,
,,,,,14515,65.0,65,,,,,,
,,,,,14531,16.0,16,,,,,,
,,,,,14541,10.0,10,,,,,,
,,,,,14571,30.0,30,,,,,,
,,,,,14602,31.0,31,,,,,,
,,,,,14623,21.0,21,,,,,,
,,,,,14705,82.0,82,,,,,,
,,,,,14755,50.0,50,,,,,,
,,,,,14770,15.0,15,,,,,,
,,,,,14790,20.0,20,,,,,,
,,,,,14913,123.0,123,,,,,,
,,,,,14973,60.0,60,,,,,,
,,,,,14986,13.0,13,,,,,,
130.6,11.732007,148.0,113.0,130.6,15000,,,0.031379349529743195,12.412308692932129,12.408496856689453,0.6130205392837524,0.55,0.0005
,,,,,15049,63.0,63,,,,,,
,,,,,15146,97.0,97,,,,,,
,,,,,15175,29.0,29,,,,,,
