Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,32069,-95.88937,65,,,,,,
,,,,,32195,-76.86633,126,,,,,,
,,,,,32285,-67.131966,90,,,,,,
,,,,,32348,-38.473255,63,,,,,,
,,,,,32423,-70.58756,75,,,,,,
,,,,,32537,-83.04074,114,,,,,,
,,,,,32647,-82.60555,110,,,,,,
,,,,,32733,-91.91335,86,,,,,,
,,,,,32866,-179.62828,133,,,,,,
,,,,,32992,-91.93645,126,,,,,,
,,,,,33000,,,13.30603313446045,-7.0434250831604,-7.596140384674072,23.36345672607422,0.802,0.01
,,,,,33104,-122.01245,112,,,,,,
,,,,,33241,-31.973114,137,,,,,,
,,,,,33340,-27.945663,99,,,,,,
,,,,,33419,-61.73307,79,,,,,,
,,,,,33552,-81.25215,133,,,,,,
,,,,,33689,-94.913055,137,,,,,,
,,,,,33821,-135.35771,132,,,,,,
,,,,,33907,-68.69144,86,,,,,,
,,,,,34000,,,43.862548828125,-14.534944534301758,-13.203869819641113,47.38897705078125,0.796,0.01
,,,,,34003,-41.353565,96,,,,,,
,,,,,34118,-151.68155,115,,,,,,
,,,,,34225,-96.716225,107,,,,,,
,,,,,34344,-94.384575,119,,,,,,
,,,,,34440,-85.516556,96,,,,,,
,,,,,34541,-128.17159,101,,,,,,
,,,,,34660,-123.56706,119,,,,,,
,,,,,34762,-110.50619,102,,,,,,
,,,,,34885,-110.72086,123,,,,,,
,,,,,34970,27.155045,85,,,,,,
,,,,,35000,,,31.19666290283203,-7.23820686340332,-6.581397533416748,38.724632263183594,0.79,0.01
,,,,,35098,-98.76966,128,,,,,,
,,,,,35199,-196.13977,101,,,,,,
,,,,,35299,-56.76904,100,,,,,,
,,,,,35404,-135.82791,105,,,,,,
,,,,,35506,-86.40114,102,,,,,,
,,,,,35620,-84.75885,114,,,,,,
,,,,,35707,-42.51894,87,,,,,,
,,,,,35829,-189.03577,122,,,,,,
,,,,,35901,-45.889458,72,,,,,,
,,,,,36000,-49.680378,99,,,,,,
,,,,,36000,,,33.56806182861328,-5.854714870452881,-7.445136070251465,39.61479187011719,0.784,0.01
,,,,,36080,-80.99882,80,,,,,,
,,,,,36231,-71.50853,151,,,,,,
,,,,,36345,-33.762222,114,,,,,,
,,,,,36464,-12.837196,119,,,,,,
,,,,,36583,-76.53706,119,,,,,,
,,,,,36664,-114.19065,81,,,,,,
,,,,,36736,-92.134094,72,,,,,,
,,,,,36846,-156.87549,110,,,,,,
,,,,,36987,-144.62466,141,,,,,,
,,,,,37000,,,15.864923477172852,-2.567397356033325,-2.4328432083129883,24.1575870513916,0.778,0.01
,,,,,37104,-131.90248,117,,,,,,
,,,,,37220,-75.921135,116,,,,,,
,,,,,37315,-41.391815,95,,,,,,
,,,,,37390,-93.48062,75,,,,,,
,,,,,37504,-112.881035,114,,,,,,
,,,,,37607,-97.516655,103,,,,,,
,,,,,37697,-57.47786,90,,,,,,
,,,,,37803,-52.093365,106,,,,,,
,,,,,37919,-139.53369,116,,,,,,
,,,,,38000,,,16.792070388793945,-4.46925687789917,-5.112122535705566,27.71202278137207,0.772,0.01
,,,,,38059,-46.12925,140,,,,,,
,,,,,38179,-106.4698,120,,,,,,
,,,,,38259,-20.505638,80,,,,,,
,,,,,38353,-41.629436,94,,,,,,
,,,,,38461,-145.19293,108,,,,,,
,,,,,38541,-101.64073,80,,,,,,
,,,,,38628,-87.4959,87,,,,,,
,,,,,38693,-87.307205,65,,,,,,
,,,,,38768,-189.45514,75,,,,,,
,,,,,38849,-94.232216,81,,,,,,
,,,,,38949,-144.04544,100,,,,,,
,,,,,39000,,,8.132184982299805,-0.4480990171432495,-1.2327399253845215,24.245380401611328,0.766,0.01
,,,,,39077,-128.4245,128,,,,,,
,,,,,39184,-51.02847,107,,,,,,
,,,,,39334,-299.95883,150,,,,,,
,,,,,39419,-88.14972,85,,,,,,
,,,,,39500,-88.767044,81,,,,,,
,,,,,39565,-54.726753,65,,,,,,
,,,,,39705,-68.47917,140,,,,,,
,,,,,39778,-42.81742,73,,,,,,
,,,,,39895,-148.34288,117,,,,,,
-132.51811,42.29686,-69.07364,-204.66498,764.7,40000,,,13.447568893432617,-4.573691368103027,-4.901762962341309,30.153188705444336,0.76,0.01
,,,,,40013,-106.67119,118,,,,,,
,,,,,40099,-104.87125,86,,,,,,
,,,,,40234,-127.55232,135,,,,,,
,,,,,40384,-170.04018,150,,,,,,
,,,,,40490,-73.16904,106,,,,,,
,,,,,40602,-73.242035,112,,,,,,
,,,,,40693,-3.2043152,91,,,,,,
,,,,,40772,-74.034134,79,,,,,,
,,,,,40894,-112.26927,122,,,,,,
,,,,,40988,-72.03362,94,,,,,,
,,,,,41000,,,14.479759216308594,-7.423827171325684,-6.931676387786865,32.26411819458008,0.754,0.01
,,,,,41089,-53.262997,101,,,,,,
,,,,,41231,-115.65537,142,,,,,,
,,,,,41352,-109.88444,121,,,,,,
,,,,,41422,-57.917175,70,,,,,,
,,,,,41529,-52.529926,107,,,,,,
,,,,,41639,-66.803314,110,,,,,,
,,,,,41763,-89.8262,124,,,,,,
,,,,,41879,-106.13783,116,,,,,,
,,,,,41964,-32.63614,85,,,,,,
,,,,,42000,,,14.422569274902344,-3.61688232421875,-2.3269035816192627,31.039430618286133,0.748,0.01
,,,,,42046,-47.08931,82,,,,,,
,,,,,42163,-65.60454,117,,,,,,
,,,,,42253,-56.628464,90,,,,,,
,,,,,42356,-68.96826,103,,,,,,
,,,,,42497,-34.695587,141,,,,,,
,,,,,42607,2.4696045,110,,,,,,
,,,,,42716,-109.65093,109,,,,,,
,,,,,42807,-80.34027,91,,,,,,
,,,,,42929,-73.527245,122,,,,,,
,,,,,43000,,,16.569429397583008,-6.1289849281311035,-5.68578577041626,26.009662628173828,0.742,0.01
,,,,,43045,-76.71805,116,,,,,,
,,,,,43163,-101.276344,118,,,,,,
,,,,,43241,-82.83798,78,,,,,,
,,,,,43370,-111.815674,129,,,,,,
,,,,,43511,-94.67135,141,,,,,,
,,,,,43616,-76.79102,105,,,,,,
,,,,,43722,-53.894524,106,,,,,,
,,,,,43813,-71.44565,91,,,,,,
,,,,,43890,-110.37655,77,,,,,,
,,,,,43969,-89.739716,79,,,,,,
,,,,,44000,,,31.331499099731445,-11.463825225830078,-11.51945686340332,34.446983337402344,0.736,0.01
,,,,,44054,-72.24783,85,,,,,,
,,,,,44127,-124.45929,73,,,,,,
,,,,,44235,-82.92453,108,,,,,,
,,,,,44364,-71.93714,129,,,,,,
,,,,,44512,-74.26732,148,,,,,,
,,,,,44601,-106.706604,89,,,,,,
,,,,,44727,-26.02938,126,,,,,,
,,,,,44851,-143.76102,124,,,,,,
,,,,,44975,-126.038246,124,,,,,,
,,,,,45000,,,17.810998916625977,-5.34239387512207,-6.726870059967041,32.1989860534668,0.73,0.01
,,,,,45061,-147.52692,86,,,,,,
,,,,,45148,-46.691242,87,,,,,,
,,,,,45234,-152.64886,86,,,,,,
,,,,,45328,-110.069466,94,,,,,,
,,,,,45397,-44.607475,69,,,,,,
,,,,,45494,-99.68213,97,,,,,,
,,,,,45588,-241.7636,94,,,,,,
,,,,,45699,-66.07778,111,,,,,,
,,,,,45815,-72.11397,116,,,,,,
