Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,2782,6.0,6,,,,,,,,,,
,,,,,2788,6.0,6,,,,,,,,,,
,,,,,2791,3.0,3,,,,,,,,,,
,,,,,2799,8.0,8,,,,,,,,,,
,,,,,2805,6.0,6,,,,,,,,,,
,,,,,2817,12.0,12,,,,,,,,,,
,,,,,2823,6.0,6,,,,,,,,,,
,,,,,2834,11.0,11,,,,,,,,,,
,,,,,2838,4.0,4,,,,,,,,,,
,,,,,2843,5.0,5,,,,,,,,,,
,,,,,2850,7.0,7,,,,,,,,,,
,,,,,2856,6.0,6,,,,,,,,,,
,,,,,2862,6.0,6,,,,,,,,,,
,,,,,2867,5.0,5,,,,,,,,,,
,,,,,2870,3.0,3,,,,,,,,,,
,,,,,2875,5.0,5,,,,,,,,,,
,,,,,2881,6.0,6,,,,,,,,,,
,,,,,2896,15.0,15,,,,,,,,,,
,,,,,2900,4.0,4,,,,,,,,,,
,,,,,2905,5.0,5,,,,,,,,,,
,,,,,2910,5.0,5,,,,,,,,,,
,,,,,2914,4.0,4,,,,,,,,,,
,,,,,2921,7.0,7,,,,,,,,,,
,,,,,2933,12.0,12,,,,,,,,,,
,,,,,2949,16.0,16,,,,,,,,,,
,,,,,2960,11.0,11,,,,,,,,,,
,,,,,2971,11.0,11,,,,,,,,,,
,,,,,2979,8.0,8,,,,,,,,,,
,,,,,2982,3.0,3,,,,,,,,,,
,,,,,2988,6.0,6,,,,,,,,,,
,,,,,3001,13.0,13,,,,,,,,,,
,,,,,3005,4.0,4,,,,,,,,,,
,,,,,3009,4.0,4,,,,,,,,,,
,,,,,3014,5.0,5,,,,,,,,,,
,,,,,3024,10.0,10,,,,,,,,,,
,,,,,3032,8.0,8,,,,,,,,,,
,,,,,3037,5.0,5,,,,,,,,,,
,,,,,3048,11.0,11,,,,,,,,,,
,,,,,3052,4.0,4,,,,,,,,,,
,,,,,3058,6.0,6,,,,,,,,,,
,,,,,3063,5.0,5,,,,,,,,,,
,,,,,3072,9.0,9,,,,,,,,,,
,,,,,3083,11.0,11,,,,,,,,,,
,,,,,3094,11.0,11,,,,,,,,,,
,,,,,3104,10.0,10,,,,,,,,,,
,,,,,3108,4.0,4,,,,,,,,,,
,,,,,3116,8.0,8,,,,,,,,,,
,,,,,3129,13.0,13,,,,,,,,,,
,,,,,3139,10.0,10,,,,,,,,,,
,,,,,3143,4.0,4,,,,,,,,,,
,,,,,3147,4.0,4,,,,,,,,,,
,,,,,3154,7.0,7,,,,,,,,,,
,,,,,3162,8.0,8,,,,,,,,,,
,,,,,3165,3.0,3,,,,,,,,,,
,,,,,3171,6.0,6,,,,,,,,,,
,,,,,3176,5.0,5,,,,,,,,,,
,,,,,3179,3.0,3,,,,,,,,,,
,,,,,3184,5.0,5,,,,,,,,,,
,,,,,3187,3.0,3,,,,,,,,,,
,,,,,3194,7.0,7,,,,,,,,,,
,,,,,3204,10.0,10,,,,,,,,,,
,,,,,3208,4.0,4,,,,,,,,,,
,,,,,3213,5.0,5,,,,,,,,,,
,,,,,3235,22.0,22,,,,,,,,,,
,,,,,3243,8.0,8,,,,,,,,,,
,,,,,3246,3.0,3,,,,,,,,,,
,,,,,3253,7.0,7,,,,,,,,,,
,,,,,3258,5.0,5,,,,,,,,,,
,,,,,3262,4.0,4,,,,,,,,,,
,,,,,3266,4.0,4,,,,,,,,,,
,,,,,3270,4.0,4,,,,,,,,,,
,,,,,3276,6.0,6,,,,,,,,,,
,,,,,3290,14.0,14,,,,,,,,,,
,,,,,3297,7.0,7,,,,,,,,,,
,,,,,3302,5.0,5,,,,,,,,,,
,,,,,3305,3.0,3,,,,,,,,,,
,,,,,3314,9.0,9,,,,,,,,,,
,,,,,3324,10.0,10,,,,,,,,,,
,,,,,3328,4.0,4,,,,,,,,,,
,,,,,3339,11.0,11,,,,,,,,,,
,,,,,3343,4.0,4,,,,,,,,,,
,,,,,3351,8.0,8,,,,,,,,,,
,,,,,3356,5.0,5,,,,,,,,,,
,,,,,3360,4.0,4,,,,,,,,,,
,,,,,3372,12.0,12,,,,,,,,,,
,,,,,3376,4.0,4,,,,,,,,,,
,,,,,3381,5.0,5,,,,,,,,,,
,,,,,3384,3.0,3,,,,,,,,,,
,,,,,3405,21.0,21,,,,,,,,,,
,,,,,3413,8.0,8,,,,,,,,,,
,,,,,3418,5.0,5,,,,,,,,,,
,,,,,3421,3.0,3,,,,,,,,,,
,,,,,3431,10.0,10,,,,,,,,,,
,,,,,3446,15.0,15,,,,,,,,,,
,,,,,3450,4.0,4,,,,,,,,,,
,,,,,3458,8.0,8,,,,,,,,,,
,,,,,3465,7.0,7,,,,,,,,,,
,,,,,3471,6.0,6,,,,,,,,,,
,,,,,3476,5.0,5,,,,,,,,,,
,,,,,3480,4.0,4,,,,,,,,,,
,,,,,3490,10.0,10,,,,,,,,,,
,,,,,3493,3.0,3,,,,,,,,,,
,,,,,3496,3.0,3,,,,,,,,,,
,,,,,3509,13.0,13,,,,,,,,,,
,,,,,3521,12.0,12,,,,,,,,,,
,,,,,3526,5.0,5,,,,,,,,,,
,,,,,3534,8.0,8,,,,,,,,,,
,,,,,3537,3.0,3,,,,,,,,,,
,,,,,3542,5.0,5,,,,,,,,,,
,,,,,3545,3.0,3,,,,,,,,,,
,,,,,3550,5.0,5,,,,,,,,,,
,,,,,3562,12.0,12,,,,,,,,,,
,,,,,3568,6.0,6,,,,,,,,,,
,,,,,3572,4.0,4,,,,,,,,,,
,,,,,3580,8.0,8,,,,,,,,,,
,,,,,3584,4.0,4,,,,,,,,,,
,,,,,3588,4.0,4,,,,,,,,,,
,,,,,3595,7.0,7,,,,,,,,,,
