Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,3228,3.0,3,,,,,,,,
,,,,,3233,5.0,5,,,,,,,,
,,,,,3243,10.0,10,,,,,,,,
,,,,,3246,3.0,3,,,,,,,,
,,,,,3253,7.0,7,,,,,,,,
,,,,,3258,5.0,5,,,,,,,,
,,,,,3262,4.0,4,,,,,,,,
,,,,,3266,4.0,4,,,,,,,,
,,,,,3270,4.0,4,,,,,,,,
,,,,,3276,6.0,6,,,,,,,,
,,,,,3290,14.0,14,,,,,,,,
,,,,,3297,7.0,7,,,,,,,,
,,,,,3301,4.0,4,,,,,,,,
,,,,,3304,3.0,3,,,,,,,,
,,,,,3313,9.0,9,,,,,,,,
,,,,,3316,3.0,3,,,,,,,,
,,,,,3321,5.0,5,,,,,,,,
,,,,,3326,5.0,5,,,,,,,,
,,,,,3336,10.0,10,,,,,,,,
,,,,,3342,6.0,6,,,,,,,,
,,,,,3345,3.0,3,,,,,,,,
,,,,,3348,3.0,3,,,,,,,,
,,,,,3351,3.0,3,,,,,,,,
,,,,,3356,5.0,5,,,,,,,,
,,,,,3360,4.0,4,,,,,,,,
,,,,,3373,13.0,13,,,,,,,,
,,,,,3393,20.0,20,,,,,,,,
,,,,,3396,3.0,3,,,,,,,,
,,,,,3401,5.0,5,,,,,,,,
,,,,,3407,6.0,6,,,,,,,,
,,,,,3412,5.0,5,,,,,,,,
,,,,,3418,6.0,6,,,,,,,,
,,,,,3421,3.0,3,,,,,,,,
,,,,,3431,10.0,10,,,,,,,,
,,,,,3454,23.0,23,,,,,,,,
,,,,,3462,8.0,8,,,,,,,,
,,,,,3469,7.0,7,,,,,,,,
,,,,,3474,5.0,5,,,,,,,,
,,,,,3479,5.0,5,,,,,,,,
,,,,,3482,3.0,3,,,,,,,,
,,,,,3485,3.0,3,,,,,,,,
,,,,,3490,5.0,5,,,,,,,,
,,,,,3493,3.0,3,,,,,,,,
,,,,,3496,3.0,3,,,,,,,,
,,,,,3511,15.0,15,,,,,,,,
,,,,,3515,4.0,4,,,,,,,,
,,,,,3518,3.0,3,,,,,,,,
,,,,,3521,3.0,3,,,,,,,,
,,,,,3526,5.0,5,,,,,,,,
,,,,,3535,9.0,9,,,,,,,,
,,,,,3540,5.0,5,,,,,,,,
,,,,,3545,5.0,5,,,,,,,,
,,,,,3550,5.0,5,,,,,,,,
,,,,,3562,12.0,12,,,,,,,,
,,,,,3568,6.0,6,,,,,,,,
,,,,,3572,4.0,4,,,,,,,,
,,,,,3581,9.0,9,,,,,,,,
,,,,,3604,23.0,23,,,,,,,,
,,,,,3609,5.0,5,,,,,,,,
,,,,,3612,3.0,3,,,,,,,,
,,,,,3626,14.0,14,,,,,,,,
,,,,,3639,13.0,13,,,,,,,,
,,,,,3643,4.0,4,,,,,,,,
,,,,,3647,4.0,4,,,,,,,,
,,,,,3652,5.0,5,,,,,,,,
,,,,,3660,8.0,8,,,,,,,,
,,,,,3665,5.0,5,,,,,,,,
,,,,,3669,4.0,4,,,,,,,,
,,,,,3680,11.0,11,,,,,,,,
,,,,,3688,8.0,8,,,,,,,,
,,,,,3692,4.0,4,,,,,,,,
,,,,,3696,4.0,4,,,,,,,,
,,,,,3699,3.0,3,,,,,,,,
,,,,,3702,3.0,3,,,,,,,,
,,,,,3706,4.0,4,,,,,,,,
,,,,,3709,3.0,3,,,,,,,,
,,,,,3715,6.0,6,,,,,,,,
,,,,,3719,4.0,4,,,,,,,,
,,,,,3723,4.0,4,,,,,,,,
,,,,,3730,7.0,7,,,,,,,,
,,,,,3734,4.0,4,,,,,,,,
,,,,,3737,3.0,3,,,,,,,,
,,,,,3743,6.0,6,,,,,,,,
,,,,,3750,7.0,7,,,,,,,,
,,,,,3753,3.0,3,,,,,,,,
,,,,,3760,7.0,7,,,,,,,,
,,,,,3766,6.0,6,,,,,,,,
,,,,,3770,4.0,4,,,,,,,,
,,,,,3774,4.0,4,,,,,,,,
,,,,,3777,3.0,3,,,,,,,,
,,,,,3789,12.0,12,,,,,,,,
,,,,,3794,5.0,5,,,,,,,,
,,,,,3804,10.0,10,,,,,,,,
,,,,,3809,5.0,5,,,,,,,,
,,,,,3820,11.0,11,,,,,,,,
,,,,,3826,6.0,6,,,,,,,,
,,,,,3835,9.0,9,,,,,,,,
,,,,,3840,5.0,5,,,,,,,,
,,,,,3845,5.0,5,,,,,,,,
,,,,,3866,21.0,21,,,,,,,,
,,,,,3870,4.0,4,,,,,,,,
,,,,,3878,8.0,8,,,,,,,,
,,,,,3882,4.0,4,,,,,,,,
,,,,,3898,16.0,16,,,,,,,,
,,,,,3905,7.0,7,,,,,,,,
,,,,,3908,3.0,3,,,,,,,,
,,,,,3911,3.0,3,,,,,,,,
,,,,,3917,6.0,6,,,,,,,,
,,,,,3928,11.0,11,,,,,,,,
,,,,,3931,3.0,3,,,,,,,,
,,,,,3936,5.0,5,,,,,,,,
,,,,,3942,6.0,6,,,,,,,,
,,,,,3948,6.0,6,,,,,,,,
,,,,,3953,5.0,5,,,,,,,,
,,,,,3965,12.0,12,,,,,,,,
,,,,,3969,4.0,4,,,,,,,,
,,,,,3983,14.0,14,,,,,,,,
,,,,,3987,4.0,4,,,,,,,,
